time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-19T02:56:28.820Z,-10.4874,123.9098,35,5.1,mb,,78,0.808,1.07,us,usc000syql,2014-11-19T10:59:00.987Z,"50km SE of Kupang, Indonesia",earthquake
2014-11-19T02:49:09.460Z,33.0481667,-116.1778333,9.04,1.39,ml,39,58,0.1577,0.28,ci,ci37062303,2014-11-19T02:53:58.530Z,"29km SE of Borrego Springs, California",earthquake
2014-11-19T02:28:39.700Z,46.852,-121.754,4.3,0.9,Md,,79.2,0.01796631,0.06,uw,uw60920052,2014-11-19T03:24:32.711Z,"28km NNW of Packwood, Washington",earthquake
2014-11-19T02:14:55.600Z,19.42,-155.616,2.7,1.1,Md,,100.8,0.01796631,0.16,hv,hv60803886,2014-11-19T03:57:47.975Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake
2014-11-19T02:07:45.700Z,37.2789,-97.6263,5.21,2.7,mb_lg,,88,0.03,0.19,us,usc000syqh,2014-11-19T12:12:06.879Z,"12km S of Conway Springs, Kansas",earthquake
2014-11-19T02:05:42.530Z,12.598,-88.0156,58.23,4.5,mb,,147,0.583,1.05,us,usc000syqa,2014-11-19T10:08:26.679Z,"63km WSW of Jiquilillo, Nicaragua",earthquake
2014-11-19T01:58:38.060Z,19.5174,120.3077,20.39,4.7,mb,,126,3.361,1.04,us,usc000syq8,2014-11-19T10:01:15.338Z,"116km NNW of Burgos, Philippines",earthquake
2014-11-19T01:56:49.690Z,42.8412,105.1908,14.9,4.7,mb,,106,5.065,0.76,us,usc000syq7,2014-11-19T09:59:24.157Z,"4km E of Sangiyn Dalay, Mongolia",earthquake
2014-11-19T01:49:59.480Z,33.5338333,-116.7238333,3.37,0.65,ml,28,42,0.03343,0.23,ci,ci37062295,2014-11-19T01:54:20.320Z,"5km WSW of Anza, California",earthquake
2014-11-19T01:44:02.800Z,46.8532,-121.7555,4.3,0,Md,,82.8,0.02694946,0.08,uw,uw60920022,2014-11-19T03:19:56.221Z,"28km NNW of Packwood, Washington",earthquake
2014-11-19T01:41:39.900Z,19.3837,-155.2445,2.6,2.2,Ml,,79.2,0.00898315,0.09,hv,hv60803876,2014-11-19T04:40:08.424Z,"5km S of Volcano, Hawaii",earthquake
2014-11-19T01:41:26.000Z,63.5682,-147.4827,4.2,1.6,ml,,,,0.16,ak,ak11445338,2014-11-19T02:47:43.721Z,"75km ENE of Cantwell, Alaska",earthquake
2014-11-19T01:19:32.700Z,33.5133333,-116.417,10.87,0.67,ml,13,113,0.01239,0.28,ci,ci37062287,2014-11-19T01:24:15.590Z,"19km SSW of La Quinta, California",earthquake
2014-11-19T01:15:45.210Z,35.9441667,-117.6686667,1.48,1.04,ml,17,52,0.0153,0.18,ci,ci37062279,2014-11-19T01:19:40.460Z,"30km NW of Searles Valley, California",earthquake
2014-11-19T00:50:30.860Z,38.8214989,-122.8431702,2.57,0.84,md,15,111,0.006561,0.02,nc,nc72349556,2014-11-19T00:52:03.010Z,"8km WNW of The Geysers, California",earthquake
2014-11-19T00:49:49.150Z,39.0318336,-123.0763321,1.43,1.66,md,7,165,0.03842,0.02,nc,nc72349551,2014-11-19T00:51:23.020Z,"13km W of Lakeport, California",earthquake
2014-11-19T00:38:52.600Z,33.6698333,-116.739,18.75,0.81,ml,32,74,0.04613,0.24,ci,ci37062271,2014-11-19T00:43:16.550Z,"8km S of Idyllwild-Pine Cove, California",earthquake
2014-11-19T00:35:42.000Z,64.9844,-147.3242,1.5,1.6,ml,,,,0.33,ak,ak11445322,2014-11-19T01:32:07.672Z,"22km NNE of Badger, Alaska",earthquake
2014-11-19T00:29:38.040Z,64.4821,-17.7813,6.85,4.5,mb,,125,1.551,0.54,us,usc000syps,2014-11-19T08:32:13.398Z,"126km WNW of Hofn, Iceland",earthquake
2014-11-19T00:16:18.290Z,41.8615,-119.617,0.7697,1.82,ml,4,223.37,0.512,0.1769,nn,nn00468529,2014-11-19T14:09:42.284Z,"70km ESE of Lakeview, Oregon",earthquake
2014-11-19T00:14:58.090Z,32.9305,-115.7246667,14.99,1.87,ml,29,63,0.07981,0.44,ci,ci37062255,2014-11-19T00:19:14.730Z,"15km SW of Westmorland, California",earthquake
2014-11-18T23:40:46.000Z,64.771,-148.8363,9.1,1.3,ml,,,,0.15,ak,ak11445262,2014-11-19T01:31:49.378Z,"25km NNE of North Nenana, Alaska",earthquake
2014-11-18T23:40:39.480Z,-48.1719,31.6862,10,4.8,mb,,82,17.793,0.61,us,usc000sypb,2014-11-19T07:43:11.376Z,"South of Africa",earthquake
2014-11-18T23:24:44.640Z,32.952,-115.5325,0.06,1.26,ml,8,178,0.0557,0.31,ci,ci37062247,2014-11-18T23:29:08.960Z,"2km S of Brawley, California",earthquake
2014-11-18T23:22:16.000Z,60.0334,-152.7076,108.9,2.9,ml,,,,0.6,ak,ak11445251,2014-11-19T07:24:57.674Z,"50km S of Redoubt Volcano, Alaska",earthquake
2014-11-18T23:04:28.000Z,63.9279,-149.9374,0,1.6,ml,,,,0.55,ak,ak11445240,2014-11-19T00:11:53.347Z,"48km W of Healy, Alaska",earthquake
2014-11-18T23:00:32.370Z,-23.7058,179.8374,536.17,4.3,mb,,116,5.868,0.64,us,usc000sypa,2014-11-19T07:03:10.890Z,"South of the Fiji Islands",earthquake
2014-11-18T22:59:12.870Z,36.1038333,-117.8693333,2.86,0.7,ml,12,122,0.01818,0.15,ci,ci37062239,2014-11-18T23:17:52.778Z,"50km N of Inyokern, California",earthquake
2014-11-18T22:34:44.740Z,38.8296661,-122.8554993,2.79,0.58,md,11,79,0.002374,0.02,nc,nc72349536,2014-11-18T23:12:03.511Z,"10km NW of The Geysers, California",earthquake
2014-11-18T22:23:50.610Z,38.793335,-122.758667,2.06,0.9,md,18,53,0.01989,0.03,nc,nc72349521,2014-11-18T22:49:04.794Z,"1km N of The Geysers, California",earthquake
2014-11-18T22:23:26.600Z,35.9221,-97.4432,5.646,2.6,ml,,67,,0.68,us,usc000synz,2014-11-19T06:26:05.329Z,"5km NNW of Guthrie, Oklahoma",earthquake
2014-11-18T22:20:12.350Z,37.6238327,-118.9649963,7.68,1.76,md,27,103,0.007893,0.04,nc,nc72349516,2014-11-19T01:25:04.025Z,"2km SSE of Mammoth Lakes, California",earthquake
2014-11-18T22:18:42.600Z,49.3693,-120.5047,0,2.2,Md,,158.4,0.58390493,0.92,uw,uw60919907,2014-11-19T03:15:15.709Z,"9km S of Princeton, Canada",quarry
2014-11-18T22:18:28.890Z,38.809166,-122.8121643,2.64,1.64,md,9,109,0.01323,0.01,nc,nc72349511,2014-11-19T01:05:06.994Z,"5km NW of The Geysers, California",earthquake
2014-11-18T22:01:28.580Z,33.8575,-117.5061667,0.01,1.71,ml,37,86,0.04916,0.18,ci,ci37062223,2014-11-18T23:13:47.330Z,"2km SSE of Home Gardens, California",quarry_blast
2014-11-18T21:51:14.000Z,65.1339,-148.9848,6.2,1.5,ml,,,,0.54,ak,ak11445131,2014-11-18T22:45:06.977Z,"55km NW of Ester, Alaska",earthquake
2014-11-18T21:47:37.400Z,36.2811,-96.973,5,2.6,ml,,81,,0.48,us,usc000symz,2014-11-19T05:50:10.463Z,"16km WSW of Pawnee, Oklahoma",earthquake
2014-11-18T21:47:08.870Z,41.9063,-119.6155,0.1849,2.64,ml,3,145.73,0.512,0.0169,nn,nn00468480,2014-11-19T05:49:46.861Z,"68km ESE of Lakeview, Oregon",earthquake
2014-11-18T21:43:55.280Z,36.2944,-96.992,5,3.1,mb_lg,,52,0.26,0.29,us,usc000sym1,2014-11-19T04:26:27.069Z,"17km WSW of Pawnee, Oklahoma",earthquake
2014-11-18T21:34:58.600Z,48.2367,-122.144,15.6,0.7,Md,,226.8,0.04491576,0.07,uw,uw60919872,2014-11-18T22:30:44.099Z,"1km ESE of Bryant, Washington",earthquake
2014-11-18T21:32:49.940Z,36.1216667,-117.3613333,1.86,1.16,ml,15,85,0.1214,0.25,ci,ci37062207,2014-11-18T23:10:42.706Z,"39km N of Searles Valley, California",earthquake
2014-11-18T21:30:04.900Z,48.0937,-121.9435,0,1.1,Md,,90,0.09881468,0.27,uw,uw60919867,2014-11-18T22:17:41.668Z,"2km ENE of Granite Falls, Washington",quarry
2014-11-18T21:27:03.177Z,41.8738,-119.6178,0,2.02,ml,3,244.28,0.511,0.1145,nn,nn00468500,2014-11-18T23:37:45.098Z,"69km ESE of Lakeview, Oregon",earthquake
2014-11-18T21:25:42.000Z,60.5557,-151.6459,46.1,1.8,ml,,,,0.58,ak,ak11445034,2014-11-18T22:45:06.224Z,"21km W of Kenai, Alaska",earthquake
